Symbol,CompanyName,DpmName
ALGN,ALIGN TECHNOLOGY INC COM,GTS Securities LLC
ALGS,ALIGOS THERAPEUTICS INC COM,Citadel Securities LLC
ALGT,ALLEGIANT TRAVEL CO COM,"Susquehanna Securities, LLC"
ALHC,ALIGNMENT HEALTHCARE INC COM,Citadel Securities LLC
ALIT,ALIGHT INC COM CL A,Belvedere Trading LLC
ALK,ALASKA AIR GROUP INC COM,"Susquehanna Securities, LLC"
ALKS,ALKERMES PLC SHS,Citadel Securities LLC
ALKT,ALKAMI TECHNOLOGY INC COM,
ALL,ALLSTATE CORP COM,"Susquehanna Securities, LLC"
ALLE,ALLEGION PLC ORD SHS,"Wolverine Trading, LLC"
ALLK,ALLAKOS INC COM,
ALLO,ALLOGENE THERAPEUTICS INC COM,"Group One Trading, L.P."
ALLT,ALLOT LTD SHS,"Susquehanna Securities, LLC"
ALLY,ALLY FINL INC COM,Citadel Securities LLC
ALNY,ALNYLAM PHARMACEUTICALS INC COM,"Susquehanna Securities, LLC"
ALPN,ALPINE IMMUNE SCIENCES INC COM,"Susquehanna Securities, LLC"
ALPP,ALPINE 4 HOLDINGS INC CL A,
ALRM,ALARM COM HLDGS INC COM,"Susquehanna Securities, LLC"
ALSN,ALLISON TRANSMISSION HLDGS INC COM,"Susquehanna Securities, LLC"
ALT,ALTIMMUNE INC COM NEW,"Group One Trading, L.P."
ALTG,ALTA EQUIPMENT GROUP INC COMMON STOCK,"Group One Trading, L.P."
ALTO,ALTO INGREDIENTS INC COM,"Group One Trading, L.P."
ALTR,ALTAIR ENGR INC COM CL A,
ALTU,ALTITUDE ACQUISITION CORP COM CL A,"Susquehanna Securities, LLC"
ALTY,GLOBAL X FDS ALTERNATIVE INCM,
ALV,AUTOLIV INC COM,Citadel Securities LLC
ALVR,ALLOVIR INC COM,Citadel Securities LLC
ALXO,ALX ONCOLOGY HLDGS INC COM,"Group One Trading, L.P."
ALZN,ALZAMEND NEURO INC COM NEW,Belvedere Trading LLC
AM,ANTERO MIDSTREAM CORP COM,"Susquehanna Securities, LLC"
AMAT,APPLIED MATLS INC COM,Citadel Securities LLC
AMBA,AMBARELLA INC SHS,"Susquehanna Securities, LLC"
AMBC,AMBAC FINL GROUP INC COM NEW,"Wolverine Trading, LLC"
AMBP,ARDAGH METAL PACKAGING S A SHS,"Susquehanna Securities, LLC"
AMC,AMC ENTMT HLDGS INC CL A COM,Citadel Securities LLC
AMCR,AMCOR PLC ORD,Belvedere Trading LLC
AMCX,AMC NETWORKS INC CL A,"Susquehanna Securities, LLC"
AMD,ADVANCED MICRO DEVICES INC COM,Citadel Securities LLC
AME,AMETEK INC COM,Citadel Securities LLC
AMED,AMEDISYS INC COM,Citadel Securities LLC
AMEH,APOLLO MED HLDGS INC COM NEW,"Susquehanna Securities, LLC"
AMG,AFFILIATED MANAGERS GROUP INC COM,"Susquehanna Securities, LLC"
AMGN,AMGEN INC COM,Citadel Securities LLC
AMH,AMERICAN HOMES 4 RENT CL A,"Susquehanna Securities, LLC"
AMJ,JPMORGAN CHASE & CO ALERIAN ML ETN,"Wolverine Trading, LLC"
